card_id,card_slug,card_name,set_code,card_number,version_code,is_reprint,source_card_id,card_family,owner_faction,rarity,subtype_primary,subtype_secondary,trait_tags,keyword_tags,is_collectible,is_standard_legal,scenario_only,tutorial_only,is_unique,is_legendary,deck_copy_limit,requires_faction_lock,allowed_splash,legal_player_counts,cost_sinew,cost_sigil,cost_oath,upkeep_oath,cost_scaling_rule,cost_scaling_value,heat_cost,stone,veil,authority,vitality,guard,first_strike,initiative,can_attack,can_support,support_value_rule,wound_threshold,supports_wounded_state,supports_downed_state,supports_bound_state,supports_defeated_state,downed_marker_type,counts_for_field_control_when_downed,counts_for_field_control_when_defeated,occupies_slot_when_downed,occupies_slot_when_defeated,targetable_when_downed,targetable_when_defeated,capturable_when_downed,capturable_when_defeated,auto_restore_rounds_if_defeated,defeated_restore_destination_primary,defeated_restore_destination_fallback,play_timing,timing_class,legal_zones_to_play_from,enters_play_zone,leaves_play_default_destination,trigger_windows,resolution_priority_group,requires_target,target_rule_ref,can_be_played_during_opponent_turn,consumes_play_action,mark_reward_capture,mark_reward_plain_defeat,mark_reward_name_seizure,mark_reward_site_raid,mark_reward_arbitration_no_seizure,score_overlap_rule,is_name_object,is_edict_object,heat_on_install,heat_on_rewrite_rule,heat_on_support,heat_spend_allowed,heat_spend_use_tags,arbitration_bid_enabled,arbitration_success_options,arbitration_tie_rule,supports_injunctions,field_relevance,line_relevance,geasa_relevance,field_tag_affinity,site_control_relevant,objective_control_relevant,ready_combat_unit_for_control,blocks_slot_when_present,boss_trial_required,boss_trial_axes_required,boss_trial_repeat_counts,boss_capturable_before_trial_complete,boss_stance_start,boss_stance_progression,boss_has_aura,boss_has_retaliation,boss_mark_reward_capture,site_type,site_raid_enabled,raid_condition_ref,raid_reward_marks,site_generates_sigil_income,name_scope,name_persistent,name_install_heat,name_rewrite_heat_rule,name_arbitrable,edict_one_shot,edict_window_tags,edict_persists_after_resolution,host_sigil_unique_slot,host_sigil_control_relevant,host_sigil_generates_sigil_income,pet_support_specialist,pet_faceoff_eligible,relic_persistent,relic_row_slot_type,rules_text,rules_summary_short,lore_text,ui_badge_tags,search_tags,art_prompt_ref,render_template_ref,asset_package_ref,front_visual_family,back_visual_family,ultra_visual_override,export_enabled
1,lamassu-gate-guardian,"Lamassu, Gate-Guardian",KK1,1,base,False,,HostSigil,BorderstoneGuild,Legendary,,,Host Sigils,,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,2,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,True,True,False,Sanctuary,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,"Invoke Oath 2 + Sigil 2 (2 Rounds). Once per round, cancel Displace or Steal Charge against your units. Your Sanctuary Field gains Hidden Line.",Invoke Oath 2 + Sigil 2 (2 Rounds).,A winged verdict with the patience of stone.,"HostSigil,Legendary","Lamassu, Gate-Guardian,HostSigil,Legendary,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
2,bull-of-heaven-fragment,Bull of Heaven Fragment,KK1,2,base,False,,HostSigil,FloodbornPact,Legendary,,,Host Sigils,,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,2,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,False,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,"Invoke for 2 rounds. Friendly Stone Tests gain +1; after you win one, Displace the loser.",Invoke for 2 rounds.,A ruin-sized memory of divine force.,"HostSigil,Legendary","Bull of Heaven Fragment,HostSigil,Legendary,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
3,archive-seraph,Archive Seraph,KK1,3,base,False,,HostSigil,SkyloomTemple,Legendary,,,Host Sigils,,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,2,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,False,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,"Invoke for 2 rounds. Once per round, copy one friendly Name, Site, or Relic text until end of turn.",Invoke for 2 rounds.,A many-eyed executor of precedent older than mercy.,"HostSigil,Legendary","Archive Seraph,HostSigil,Legendary,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
4,anzu-storm-thief,"Anzu, Storm-Thief",KK1,4,base,False,,HostSigil,Fateforge,Legendary,,,Host Sigils,,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,2,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,False,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,"Invoke for 2 rounds. When you win a Wind Test, Steal Charge and raise opponent's Audit Heat +1.",Invoke for 2 rounds.,Its shadow arrives before the weather admits defeat.,"HostSigil,Legendary","Anzu, Storm-Thief,HostSigil,Legendary,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
5,tablet-wraith-host,Tablet Wraith Host,KK1,5,base,False,,HostSigil,Fateforge,SuperRare,,,Host Sigils,,True,True,False,False,True,False,1,False,True,"1,2,3,4",0,0,0,1,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,False,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,Invoke for 2 rounds. Enemy Names gain +1 Swap Risk while this is active.,Invoke for 2 rounds.,It feeds on revised clauses and rushed signatures.,"HostSigil,SuperRare","Tablet Wraith Host,HostSigil,SuperRare,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
6,seven-wind-herald,Seven Wind Herald,KK1,6,base,False,,HostSigil,SkyloomTemple,SuperRare,,,Host Sigils,,True,True,False,False,True,False,1,False,True,"1,2,3,4",0,0,0,1,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,False,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,Invoke for 2 rounds. The first friendly Wind or Eye Test each round gains +2.,Invoke for 2 rounds.,Its wings make maps out of panic.,"HostSigil,SuperRare","Seven Wind Herald,HostSigil,SuperRare,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
7,scorpion-judge,Scorpion Judge,KK1,7,base,False,,HostSigil,UnderwellKeepers,SuperRare,,,Host Sigils,,True,True,False,False,True,False,1,False,True,"1,2,3,4",0,0,0,1,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,False,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,"Invoke for 2 rounds. After you win an Oath or Eye Test, place Bind on a Downed unit without extra cost.",Invoke for 2 rounds.,Its claws argue more persuasively than most tribunals.,"HostSigil,SuperRare","Scorpion Judge,HostSigil,SuperRare,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
8,namtar-shade,Namtar Shade,KK1,8,base,False,,HostSigil,UnderwellKeepers,SuperRare,,,Host Sigils,,True,True,False,False,True,False,1,False,True,"1,2,3,4",0,0,0,1,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,False,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,"Invoke for 2 rounds. When an enemy Falls Silent, you may draw 1.",Invoke for 2 rounds.,Plague's clerk still knows where all the names are filed.,"HostSigil,SuperRare","Namtar Shade,HostSigil,SuperRare,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
9,mushussu-ember-coil,"Mushussu, Ember Coil",KK1,9,base,False,,HostSigil,FloodbornPact,SuperRare,,,Host Sigils,,True,True,False,False,True,False,1,False,True,"1,2,3,4",0,0,0,1,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,True,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,"Invoke for 2 rounds. Once per round, deal 1 Wound to a unit that crossed your Line.",Invoke for 2 rounds.,Dragons in this court are legal precedent with teeth.,"HostSigil,SuperRare","Mushussu, Ember Coil,HostSigil,SuperRare,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
10,copper-storm-choir,Copper Storm Choir,KK1,10,base,False,,HostSigil,Fateforge,SuperRare,,,Host Sigils,,True,True,False,False,True,False,1,False,True,"1,2,3,4",0,0,0,1,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,False,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,Invoke for 2 rounds. Friendly Edicts cost 1 less this round and next.,Invoke for 2 rounds.,The song arrives as weather and leaves as statute.,"HostSigil,SuperRare","Copper Storm Choir,HostSigil,SuperRare,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
