card_id,card_name,field,reason,recommended_source
1,"Lamassu, Gate-Guardian",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
2,Bull of Heaven Fragment,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
3,Archive Seraph,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
4,"Anzu, Storm-Thief",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
5,Tablet Wraith Host,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
6,Seven Wind Herald,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
7,Scorpion Judge,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
8,Namtar Shade,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
9,"Mushussu, Ember Coil",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
10,Copper Storm Choir,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
11,Solar Juror,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
12,Moon Barge Apparition,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
13,Lion of the Threshold,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
14,Fish-Apkallu Echo,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
15,Basalt Ferryman,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
16,"Void Augur, the Hollow Prophet",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
17,"Sandstorm Khan, the Desert Lord",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
18,"River Titan, the Flood King",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
19,"Pharaoh of Chains, the Eternal",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
20,"Obsidian Berserker, the Black King",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
21,"Oath Champion, the Covenant King",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
22,"Masked Champion, the Golden Face",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
23,"Marsh Leviathan, the Drowned Queen",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
24,"Idol Colossus, the Living God",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
25,"Halo Paladin, the Radiant Lord",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
26,"Glyph Knight, the Rune King",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
27,"Eclipse Hierarch, the Night King",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
28,"Crystal Vanguard, the Shard Emperor",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
29,"Crimson Duelmaster, the Blood Regent",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
30,"Chained Seer, the Blind Judge",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
31,"Chain Warlord, the Iron Tyrant",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
32,"Bronze Pitlord, the Arena King",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
33,"Blood Moon Prophet, the Crimson Oracle",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
34,"Ashen Oracle, the Ember Queen",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
35,"Ash Gladiator Lord, the Flame Sovereign",cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
