lore_text,mechanics_text
"Adamu — Heroes of Oath/Stone Duality.
Protagonist of the Old Cycle; a mortal made more by trial, unbowed before the heavens.
Carries the burden of creation's first oath; every scar a vow kept.","Transcendent Initiative (12)
🛡️ Guard 6 • ⚔️ First Strike 6
Acts before all; drains 10% HP from enemies each turn; ignores sub‑divine damage reduction.
• Leverage inevitability: long fights favor you via drains.
• Focus-break enemy synergies before they can respond.
• Protect your leader; trade only when tempo remains yours."
"Rook — Heroes of Stone/Veil Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Nammu — Heroes of Stone/Veil Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Ashur — Heroes of Oath/Stone Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Zaleth — Heroes of Stone/Veil Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Irik — Heroes of Eye/Oath Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Tammuz — Heroes of Eye/Wind Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Eye/Wind sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Etana — Heroes of Wind/Stone Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Wind/Stone sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Iltu — Heroes of Stone/Wind Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Stone/Wind sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Urid — Heroes of Stone/Oath Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Stone/Oath sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
