card_id,name,rarity,stone,wind,veil,oath,eye,weight,upkeep,lore_text,section,mechanics_text
528,Pharaoh of Chains,super,🪨  5,🌪️  5,✨  12,📖  8,👁️  6,⚖️  4,♨  27,"Pharaoh of Chains — Major-Bosses of Veil/Oath Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Veil/Oath sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Shrouded on entry; adjacent enemies −1 accuracy; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
529,Idol Colossus,super,🪨  9,🌪️  5,✨  9,📖  5,👁️  4,⚖️  4,♨  21,"Idol Colossus — Major-Bosses of Stone/Veil Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.",Major-bosses,"Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 3
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
530,Marsh Leviathan,super,🪨  8,🌪️  6,✨  5,📖  4,👁️  11,⚖️  4,♨  24,"Marsh Leviathan — Major-Bosses of Eye/Stone Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Eye/Stone sigils, attire marked by duty.",Major-bosses,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
531,Bronze Juggernaut,super,🪨  5,🌪️  9,✨  6,📖  11,👁️  6,⚖️  4,♨  27,"Bronze Juggernaut — Major-Bosses of Oath/Wind Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Oath/Wind sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
532,Blood Prophet King,super,🪨  11,🌪️  4,✨  6,📖  6,👁️  10,⚖️  4,♨  28,"Blood Prophet King — Major-Bosses of Stone/Eye Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Stone/Eye sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 5
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
533,Obsidian Lion King,super,🪨  10,🌪️  6,✨  6,📖  6,👁️  11,⚖️  4,♨  30,"Obsidian Lion King — Major-Bosses of Eye/Stone Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Eye/Stone sigils, attire marked by duty.",Major-bosses,"Heroic Initiative (9)
🛡️ Guard 5 • ⚔️ First Strike 6
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
534,Ash Oracle Queen,super,🪨  4,🌪️  5,✨  5,📖  9,👁️  11,⚖️  4,♨  24,"Ash Oracle Queen — Major-Bosses of Eye/Oath Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.",Major-bosses,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
535,Chain Marshal Lord,super,🪨  9,🌪️  6,✨  4,📖  9,👁️  5,⚖️  4,♨  22,"Chain Marshal Lord — Major-Bosses of Oath/Stone Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
536,Fire Ram King,super,🪨  10,🌪️  9,✨  6,📖  4,👁️  4,⚖️  4,♨  23,"Fire Ram King — Major-Bosses of Stone/Wind Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Stone/Wind sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Reduces first incoming hit by 40%; Acts early; +1 range on the opening turn; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
537,Bone Chariot Lord,super,🪨  5,🌪️  5,✨  6,📖  10,👁️  10,⚖️  4,♨  26,"Bone Chariot Lord — Major-Bosses of Eye/Oath Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
538,Siege Idol King,super,🪨  5,🌪️  11,✨  4,📖  10,👁️  5,⚖️  4,♨  26,"Siege Idol King — Major-Bosses of Wind/Oath Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Wind/Oath sigils, attire marked by duty.",Major-bosses,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
539,Oil Hydra King,super,🪨  5,🌪️  4,✨  5,📖  8,👁️  8,⚖️  4,♨  18,"Oil Hydra King — Major-Bosses of Eye/Oath Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
540,Eclipse Hierarch,super,🪨  5,🌪️  4,✨  9,📖  6,👁️  10,⚖️  4,♨  24,"Eclipse Hierarch — Major-Bosses of Eye/Veil Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Eye/Veil sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Shrouded on entry; adjacent enemies −1 accuracy; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
541,Void Augur King,super,🪨  4,🌪️  4,✨  5,📖  9,👁️  11,⚖️  4,♨  24,"Void Augur King — Major-Bosses of Eye/Oath Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
542,Blood Moon Prophet Lord,super,🪨  6,🌪️  9,✨  9,📖  4,👁️  6,⚖️  4,♨  23,"Blood Moon Prophet Lord — Major-Bosses of Veil/Wind Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Veil/Wind sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
543,Chained Seer King,super,🪨  4,🌪️  10,✨  6,📖  9,👁️  5,⚖️  4,♨  24,"Chained Seer King — Major-Bosses of Wind/Oath Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Wind/Oath sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
544,Ashen Oracle Queen,super,🪨  10,🌪️  5,✨  12,📖  6,👁️  5,⚖️  4,♨  30,"Ashen Oracle Queen — Major-Bosses of Veil/Stone Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Veil/Stone sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
545,Crescent Duelist Lord,super,🪨  6,🌪️  4,✨  5,📖  10,👁️  9,⚖️  4,♨  24,"Crescent Duelist Lord — Major-Bosses of Oath/Eye Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Oath/Eye sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 5
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
546,Ironclad Gladiator King,super,🪨  5,🌪️  6,✨  11,📖  12,👁️  5,⚖️  4,♨  32,"Ironclad Gladiator King — Major-Bosses of Oath/Veil Duality.
A super presence whose choices bend the battlefield toward fate.
Iconography: Oath/Veil sigils, attire marked by duty.",Major-bosses,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 4
Shrouded on entry; adjacent enemies −1 accuracy; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
