card_id,name,rarity,stone,wind,veil,oath,eye,weight,upkeep,total,rules_text,section,Column1
1,Adamu,rare,3,7,7,3,3,4,11,15,"Dark-haired, olive-to-bronze skin, modest height, simple reed, wool, or bronze-trimmed garments.",HEROES,
2,Rook,rare,8,4,7,4,4,4,15,19,"Lean build, dark hair, ritual scars along arms, simple linen and bronze.",HEROES,
3,Nammu,rare,9,3,9,4,4,4,18,22,"Tall, water-blue skin, reflective eyes, robes woven with reeds.",HEROES,
4,Ashur,rare,6,4,3,9,4,4,14,18,"Massive, tar-blackened skin with ember cracks, heavy lantern-club weapon.",HEROES,
5,Zaleth,rare,7,3,7,4,3,4,12,16,"Halo above head, radiant skin, gilded robes.",HEROES,
6,Irik,rare,3,3,4,7,7,4,12,16,"Broad, glyph-inscribed stone skin, heavy plate.",HEROES,
7,Tammuz,rare,4,7,4,3,7,4,13,17,"Jewel-inlaid skin, crystalline eyes, ornate robes.",HEROES,
8,Etana,rare,7,8,4,4,3,4,14,18,"Tall, scar-carved skin glowing with light, tower shield and scar-etched sword.",HEROES,
9,Iltu,rare,8,8,3,3,3,4,14,18,"Translucent skin, shifting colors, dual daggers, cloak shimmering like glass.",HEROES,
10,Urid,rare,8,4,3,7,4,4,14,18,"Lean, reed-marked body, river-braided hair, reed-woven cloak.",HEROES,
11,Namtar,rare,4,4,3,9,8,4,17,21,"Glass-thread veins glowing beneath skin, broad, with shard-greatsword.",HEROES,
12,Zari,rare,3,3,8,7,4,4,13,17,"Pale, silt-dusted skin, echoing voice, flowing robes.",HEROES,
13,Maskat,rare,4,4,7,4,6,4,12,16,"Tall, masked, faceless, plate armor.",HEROES,
14,Eresh,rare,6,7,3,3,3,4,10,14,"Towering, obsidian skin, cuneiform armor, glowing runed wings.",HEROES,
15,Shulgi,rare,3,4,6,4,7,4,12,16,"Radiant halo fused with tribunal mask, heavy armored body.",HEROES,
16,Whipbearer,low,3,0,3,0,0,3,1,4,"Lean enforcers with scarred backs, wielding barbed whips.",GRUNTS,
17,Spear Watch,low,0,2,2,1,1,2,0,2,Bronze-armored footmen with long spears.,GRUNTS,
18,Bronze Shield,low,2,1,0,2,0,2,0,2,"Tower shield carriers, masks hide scarred faces.",GRUNTS,
19,Tax Enforcer,low,0,1,3,1,1,2,0,2,"Fat, jewel-laden men clutching ledgers and maces.",GRUNTS,
20,Chain Keeper,low,1,2,0,0,1,1,0,1,Muscled overseer with hooks and chains.,GRUNTS,
21,Pit Houndmaster,low,1,3,2,1,1,3,1,4,Scarred veteran with muzzled jackals.,GRUNTS,
22,Ash Novice,low,1,1,1,2,0,2,0,2,Skin blackened with ash tattoos.,GRUNTS,
23,Blood Acolyte,low,0,3,0,2,0,2,0,2,"Bloodstained robes, ritual knives.",GRUNTS,
24,Chanter Priest,low,1,1,2,1,1,2,0,2,"Hooded, mouths stitched, chanting low.",GRUNTS,
25,Knife Zealot,low,1,1,2,2,0,2,0,2,"Wide-eyed, wild, dual knives.",GRUNTS,
26,Desert Jackal,low,2,0,3,0,1,2,0,2,"Rag-wrapped raider, jackal skull mask.",GRUNTS,
27,River Raider,low,0,0,2,3,1,2,0,2,"Reed-armor, water-stained weapons.",GRUNTS,
28,Marsh Cutthroat,low,1,0,0,1,2,1,0,1,Reed-wrapped assassins with frog tattoos.,GRUNTS,
29,Ash Rider,low,1,1,1,1,0,1,0,1,Desert nomad on a skeletal hyena.,GRUNTS,
30,Canal Thief,low,2,0,3,1,1,2,0,2,Ragged thief with reed mask.,GRUNTS,
31,Bone Jackal,low,1,1,1,1,2,2,0,2,Skeletal jackal bound with sinew.,GRUNTS,
32,Reed Serpent,low,1,1,2,0,2,2,0,2,Long green snake camouflaged in reeds.,GRUNTS,
33,Ash Scorpion,low,1,2,1,2,0,2,0,2,Blackened scorpion glowing red.,GRUNTS,
34,Sand Hyena,low,0,0,1,2,2,2,0,2,"Mangy, desert-burned hyena with glowing eyes.",GRUNTS,
35,Bog Crocodile,low,1,0,3,2,1,2,0,2,Massive croc with reed armor.,GRUNTS,
36,Mud Rat,low,3,1,1,1,1,2,0,2,Giant sludge rat.,GRUNTS,
37,Sewer Leech,low,0,2,1,0,1,1,0,1,Massive bloated leech.,GRUNTS,
38,Corpse Beetle,low,3,0,2,1,0,2,0,2,Swarms of black beetles.,GRUNTS,
39,Glass Mite,low,0,1,1,2,3,2,0,2,Tiny crystalline mites.,GRUNTS,
40,Pit Ghoul,low,1,1,0,1,1,1,0,1,Half-starved humanoid feeding on corpses.,GRUNTS,
41,Lash Captain,low,1,2,1,1,1,2,0,2,"Overseer in bronze mask, wielding twin whips.",GRUNTS,
42,Pike Slave,low,0,1,2,0,2,2,0,2,Shackled warrior forced to carry long pike.,GRUNTS,
43,Shield Twins,low,1,0,3,1,2,2,0,2,Pair of fighters sharing a massive wooden shield.,GRUNTS,
44,Whip Sergeant,low,2,0,1,2,1,2,0,2,"Veteran with scarred arms, bronze whip.",GRUNTS,
45,Slave Hunter,low,1,3,1,1,0,2,0,2,"Tracker with hounds on leashes, bone talismans.",GRUNTS,
46,Dog Breaker,low,1,0,1,1,1,1,0,1,Brutal overseer wielding iron cudgel.,GRUNTS,
47,Ledger Bearer,low,3,3,1,0,0,3,1,4,Corpulent overseer with chained ledger.,GRUNTS,
48,Pit Jailer,low,1,3,0,0,2,2,0,2,Hooded figure with ring of keys.,GRUNTS,
49,Fire Ashling,low,0,0,1,1,0,1,0,1,Cloaked in ash fire robes.,GRUNTS,
50,Bone Eater,low,0,1,1,1,2,2,0,2,Gaunt figure gnawing bones.,GRUNTS,
51,Crimson Youth,low,1,0,2,0,2,2,0,2,Painted in blood-red clay.,GRUNTS,
52,Chant Twins,low,1,1,0,2,1,2,0,2,"Two initiates bound together, chanting in unison.",GRUNTS,
53,Idol Servant,low,1,2,0,2,0,2,0,2,Bare-chested acolyte chained to idol fragments.,GRUNTS,
54,Hill Raider,low,3,1,1,3,1,3,1,4,"Leather-clad, mountain tattoos.",GRUNTS,
55,Oasis Thief,low,0,0,2,0,1,1,0,1,"Wears water skins, blue scarf.",GRUNTS,
