card_id,name,rarity,stone,wind,veil,oath,eye,weight,upkeep,total,rules_text,portrait_url,section
600,Crimson Champion Lord,super,6,6,8,12,5,4,28,32,"Fighter drenched in blood, serrated sword, crowned with crimson.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/crimson_champion_lord.png,MAJOR-BOSSES
601,Bone Gladiator King,super,4,10,5,5,10,4,24,28,"Gladiator armored in bones, crowned with skulls.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/bone_gladiator_king.png,MAJOR-BOSSES
602,Arena Juggernaut King,super,6,6,9,11,6,4,28,32,"Enormous gladiator with chained hammer, crowned with iron.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/arena_juggernaut_king.png,MAJOR-BOSSES
603,Ash Demon Lord,super,9,4,5,5,11,4,24,28,"Demon of ash and fire, horned skull, crowned with flame.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/ash_demon_lord.png,MAJOR-BOSSES
604,Crimson Abomination Lord,super,5,8,5,5,11,4,24,28,"Flesh beast dripping crimson ichor, crowned with crimson.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/crimson_abomination_lord.png,MAJOR-BOSSES
605,Dust Titan King,super,4,5,6,10,10,4,25,29,"Colossal being of dust and stone, crowned with sand.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/dust_titan_king.png,MAJOR-BOSSES
606,Ash Leviathan King,super,11,4,8,5,5,4,23,27,"Serpentine beast wreathed in flame, crowned with soot.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/ash_leviathan_king.png,MAJOR-BOSSES
607,Red Khan Lord,super,10,11,6,4,4,4,26,30,"Warlord clad in red armor, massive axe, crowned with ruby.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/red_khan_lord.png,MAJOR-BOSSES
608,Bone Chieftain King,super,4,5,8,4,9,4,19,23,"Tribal leader wearing skull mask, crowned with bone.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/bone_chieftain_king.png,MAJOR-BOSSES
609,Canyon Lord King,super,9,8,5,6,4,4,20,24,"Raider general, golden spear, crowned with stone.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/canyon_lord_king.png,MAJOR-BOSSES
610,Sandstorm Prophet Lord,super,5,9,11,4,4,4,24,28,"Robed warlord with wind staff, crowned with sand.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/sandstorm_prophet_lord.png,MAJOR-BOSSES
611,Crimson Khan King,super,9,5,10,4,6,4,24,28,"Regal warlord in crimson silk, jeweled sword, crowned with ruby.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/crimson_khan_king.png,MAJOR-BOSSES
612,Glyph Knight King,super,9,5,12,4,5,4,26,30,"Armored warrior etched with glowing runes, crowned with glyphs.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/glyph_knight_king.png,MAJOR-BOSSES
613,Halo Paladin Lord,super,5,4,11,10,6,4,27,31,"Radiant knight crowned with luminous halo, crowned with gold.",https://raw.githubusercontent.com/tuccijr75/Kudurru-Kings/main/attached_assets/cards/images/halo_paladin_lord.png,MAJOR-BOSSES
