card_id,name,card_family,unit_rank,section,rarity,duality,stone,wind,veil,oath,eye,weight,upkeep,initiative_label,initiative_value,guard,first_strike,rules_text,lore_text,id,created_date,updated_date,created_by_id,created_by,is_sample
36,Anu the Exarch of Heaven,boss,major_boss,Bosses,ultra,Stone/Oath,11,8,10,11,10,10,25,Apocalyptic Initiative,13,7,7,"Apocalyptic Initiative (13)
🛡️ Guard 7 • ⚔️ First Strike 7
Acts before all others. Attacks strike all foes simultaneously. Reduces enemy morale by 1 permanently.
Ruler of the Specular Crown. Anu embodies divine entropy; his attacks reduce enemy initiative by half and permanently lower morale of defeated foes.
When attacking, this unit strikes all opponents simultaneously. Damage dealt ignores guard and cannot be countered. Enemies that fall before him lose 1 morale permanently.",,69d2d7247a6810a05fe17168,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
35,"Ash Gladiator Lord, the Flame Sovereign",boss,major_boss,Kingdom-bosses,super,Eye/Stone,10,4,5,5,12,4,28,Heroic Initiative,9,4,6,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17169,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
34,"Ashen Oracle, the Ember Queen",boss,major_boss,Kingdom-bosses,super,Stone/Oath,9,5,5,8,5,4,20,Standard Initiative,5,5,4,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1716a,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
33,"Blood Moon Prophet, the Crimson Oracle",boss,major_boss,Kingdom-bosses,super,Stone/Veil,12,5,12,5,6,4,34,Standard Initiative,5,5,4,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1716b,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
32,"Bronze Pitlord, the Arena King",boss,major_boss,Kingdom-bosses,super,Eye/Oath,5,5,5,9,11,4,25,Heroic Initiative,9,4,6,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1716c,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
31,"Chain Warlord, the Iron Tyrant",boss,major_boss,Kingdom-bosses,super,Wind/Eye,5,11,5,5,8,4,24,Heroic Initiative,9,3,7,"Heroic Initiative (9)
🛡️ Guard 3 • ⚔️ First Strike 7
Acts early; +1 range on the opening turn; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1716d,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
30,"Chained Seer, the Blind Judge",boss,major_boss,Kingdom-bosses,super,Stone/Veil,9,4,9,5,6,4,22,Standard Initiative,5,4,4,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1716e,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
29,"Crimson Duelmaster, the Blood Regent",boss,major_boss,Kingdom-bosses,super,Oath/Veil,4,4,11,12,6,4,30,Standard Initiative,5,5,4,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 4
Shrouded on entry; adjacent enemies −1 accuracy; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1716f,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
28,"Crystal Vanguard, the Shard Emperor",boss,major_boss,Kingdom-bosses,super,Wind/Eye,5,10,5,5,8,4,22,Heroic Initiative,9,3,6,"Heroic Initiative (9)
🛡️ Guard 3 • ⚔️ First Strike 6
Acts early; +1 range on the opening turn; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17170,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
27,"Eclipse Hierarch, the Night King",boss,major_boss,Kingdom-bosses,super,Eye/Veil,5,4,9,4,12,4,26,Heroic Initiative,9,3,6,"Heroic Initiative (9)
🛡️ Guard 3 • ⚔️ First Strike 6
Shrouded on entry; adjacent enemies −1 accuracy; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17171,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
